created_at,difficulty,explanation,has_image,hint_text,image_url,is_active,points,question_id,question_text,question_type,quiz_id,sequence_order,time_limit_seconds
2023-04-07T19:38:00.000Z,Easy,The correct answer relates to core principles of computer basics.,false,Think about the main concepts covered in Computer Basics.,https://cdn.magicbus.edu/questions/q1.png,true,2,1,Why is computer basics important in this context?,multiple_choice,1,1,60
2023-04-07T19:38:00.000Z,Easy,The correct answer relates to core principles of computer basics.,false,Think about the main concepts covered in Computer Basics.,,true,2,2,Why is computer basics important in this context?,multiple_choice,1,2,30
2023-04-07T19:38:00.000Z,Easy,The correct answer relates to core principles of computer basics.,false,Think about the main concepts covered in Computer Basics.,,true,2,3,When should you computer basics important in this context?,multiple_choice,1,3,45
2023-04-07T19:38:00.000Z,Easy,The correct answer relates to core principles of computer basics.,false,Think about the main concepts covered in Computer Basics.,,true,2,4,Why is computer basics important in this context?,multiple_choice,1,4,60
2023-04-07T19:38:00.000Z,Medium,The correct answer relates to core principles of computer basics.,false,Think about the main concepts covered in Computer Basics.,,true,1,5,Which of the following computer basics important in this context?,multiple_choice,1,5,30
2023-04-07T19:38:00.000Z,Easy,The correct answer relates to core principles of file management.,false,Think about the main concepts covered in File Management.,,true,3,6,Which of the following file management important in this context?,multiple_choice,2,1,45
2023-04-07T19:38:00.000Z,Medium,The correct answer relates to core principles of file management.,false,Think about the main concepts covered in File Management.,,true,2,7,What is file management important in this context?,multiple_choice,2,2,45
2023-04-07T19:38:00.000Z,Medium,The correct answer relates to core principles of file management.,false,Think about the main concepts covered in File Management.,https://cdn.magicbus.edu/questions/q8.png,true,2,8,How does file management important in this context?,multiple_choice,2,3,30
2023-04-07T19:38:00.000Z,Easy,The correct answer relates to core principles of file management.,false,Think about the main concepts covered in File Management.,,true,3,9,Which of the following file management important in this context?,multiple_choice,2,4,60
2023-04-07T19:38:00.000Z,Easy,The correct answer relates to core principles of file management.,false,Think about the main concepts covered in File Management.,,true,2,10,Why is file management important in this context?,multiple_choice,2,5,60
2023-04-07T19:38:00.000Z,Medium,The correct answer relates to core principles of web browsers.,false,Think about the main concepts covered in Web Browsers.,https://cdn.magicbus.edu/questions/q11.png,true,1,11,How does web browsers important in this context?,multiple_choice,3,1,60
2023-04-07T19:38:00.000Z,Easy,The correct answer relates to core principles of web browsers.,true,Think about the main concepts covered in Web Browsers.,,true,3,12,Why is web browsers important in this context?,multiple_choice,3,2,45
