created_at,feedback_if_selected,is_correct,option_id,option_label,option_text,question_id,sequence_order
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,1,A,Option A: Distractor for question 1,1,1
2023-04-07T19:38:00.000Z,Correct! Well done.,true,2,B,Option B: Correct answer for question 1,1,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,3,C,Option C: Distractor for question 1,1,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,4,D,Option D: Distractor for question 1,1,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,5,A,Option A: Distractor for question 2,2,1
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,6,B,Option B: Distractor for question 2,2,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,7,C,Option C: Distractor for question 2,2,3
2023-04-07T19:38:00.000Z,Correct! Well done.,true,8,D,Option D: Correct answer for question 2,2,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,9,A,Option A: Distractor for question 3,3,1
2023-04-07T19:38:00.000Z,Correct! Well done.,true,10,B,Option B: Correct answer for question 3,3,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,11,C,Option C: Distractor for question 3,3,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,12,D,Option D: Distractor for question 3,3,4
2023-04-07T19:38:00.000Z,Correct! Well done.,true,13,A,Option A: Correct answer for question 4,4,1
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,14,B,Option B: Distractor for question 4,4,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,15,C,Option C: Distractor for question 4,4,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,16,D,Option D: Distractor for question 4,4,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,17,A,Option A: Distractor for question 5,5,1
2023-04-07T19:38:00.000Z,Correct! Well done.,true,18,B,Option B: Correct answer for question 5,5,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,19,C,Option C: Distractor for question 5,5,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,20,D,Option D: Distractor for question 5,5,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,21,A,Option A: Distractor for question 6,6,1
2023-04-07T19:38:00.000Z,Correct! Well done.,true,22,B,Option B: Correct answer for question 6,6,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,23,C,Option C: Distractor for question 6,6,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,24,D,Option D: Distractor for question 6,6,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,25,A,Option A: Distractor for question 7,7,1
2023-04-07T19:38:00.000Z,Correct! Well done.,true,26,B,Option B: Correct answer for question 7,7,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,27,C,Option C: Distractor for question 7,7,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,28,D,Option D: Distractor for question 7,7,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,29,A,Option A: Distractor for question 8,8,1
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,30,B,Option B: Distractor for question 8,8,2
2023-04-07T19:38:00.000Z,Correct! Well done.,true,31,C,Option C: Correct answer for question 8,8,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,32,D,Option D: Distractor for question 8,8,4
2023-04-07T19:38:00.000Z,Correct! Well done.,true,33,A,Option A: Correct answer for question 9,9,1
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,34,B,Option B: Distractor for question 9,9,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,35,C,Option C: Distractor for question 9,9,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,36,D,Option D: Distractor for question 9,9,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,37,A,Option A: Distractor for question 10,10,1
2023-04-07T19:38:00.000Z,Correct! Well done.,true,38,B,Option B: Correct answer for question 10,10,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,39,C,Option C: Distractor for question 10,10,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,40,D,Option D: Distractor for question 10,10,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,41,A,Option A: Distractor for question 11,11,1
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,42,B,Option B: Distractor for question 11,11,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,43,C,Option C: Distractor for question 11,11,3
2023-04-07T19:38:00.000Z,Correct! Well done.,true,44,D,Option D: Correct answer for question 11,11,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,45,A,Option A: Distractor for question 12,12,1
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,46,B,Option B: Distractor for question 12,12,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,47,C,Option C: Distractor for question 12,12,3
2023-04-07T19:38:00.000Z,Correct! Well done.,true,48,D,Option D: Correct answer for question 12,12,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,49,A,Option A: Distractor for question 13,13,1
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,50,B,Option B: Distractor for question 13,13,2
2023-04-07T19:38:00.000Z,Correct! Well done.,true,51,C,Option C: Correct answer for question 13,13,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,52,D,Option D: Distractor for question 13,13,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,53,A,Option A: Distractor for question 14,14,1
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,54,B,Option B: Distractor for question 14,14,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,55,C,Option C: Distractor for question 14,14,3
2023-04-07T19:38:00.000Z,Correct! Well done.,true,56,D,Option D: Correct answer for question 14,14,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,57,A,Option A: Distractor for question 15,15,1
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,58,B,Option B: Distractor for question 15,15,2
2023-04-07T19:38:00.000Z,Correct! Well done.,true,59,C,Option C: Correct answer for question 15,15,3
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,60,D,Option D: Distractor for question 15,15,4
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,61,A,Option A: Distractor for question 16,16,1
2023-04-07T19:38:00.000Z,Correct! Well done.,true,62,B,Option B: Correct answer for question 16,16,2
2023-04-07T19:38:00.000Z,Not quite. Review the lesson content.,false,63,C,Option C: Distractor for question 16,16,3
